Person1Id,Person2Id,creationDate
14,2199023264850,2010-08-12T06:05:58.299+00:00
14,4398046517420,2012-10-12T10:18:54.855+00:00
14,8796093028037,2011-09-19T14:49:49.356+00:00
14,8796093030850,2010-10-11T04:41:32.686+00:00
14,8796093032749,2011-02-21T04:11:01.987+00:00
14,10995116285043,2012-11-10T15:42:02.449+00:00
14,10995116286528,2011-02-23T01:55:15.340+00:00
14,19791209307149,2011-11-22T11:07:42.348+00:00
14,21990232559659,2012-09-03T08:21:37.854+00:00
14,21990232562377,2012-05-26T04:49:02.577+00:00
14,24189255812628,2012-04-10T10:15:12.367+00:00
14,24189255818481,2012-05-20T01:45:14.959+00:00
14,26388279070147,2012-04-26T00:23:16.986+00:00
14,30786325578027,2012-10-29T23:37:02.737+00:00
14,30786325583469,2012-08-28T05:36:46.470+00:00
14,30786325585224,2012-10-18T09:58:16.244+00:00
14,32985348837827,2012-11-09T07:37:08.063+00:00
14,35184372091452,2012-09-28T03:24:16.603+00:00
14,35184372095846,2012-11-25T17:59:59.896+00:00
16,1020,2012-07-05T06:08:59.742+00:00
16,2368,2010-07-09T19:08:43.068+00:00
16,4621,2010-10-16T22:37:23.902+00:00
16,9733,2012-02-03T15:59:01.294+00:00
16,2199023260890,2011-12-13T15:29:17.895+00:00
16,2199023261502,2011-03-14T05:55:51.074+00:00
16,2199023264859,2010-06-18T07:37:00.416+00:00
16,2199023265765,2010-05-07T17:27:58.472+00:00
16,2199023265970,2012-06-16T06:46:33.514+00:00
16,4398046511463,2012-01-26T12:26:41.020+00:00
16,4398046513442,2012-08-19T15:56:21.665+00:00
16,4398046521378,2012-09-17T22:59:05.849+00:00
16,6597069774750,2012-10-31T03:25:57.807+00:00
16,8796093022536,2012-11-23T21:17:24.326+00:00
16,8796093028868,2011-07-14T14:48:23.429+00:00
16,13194139539598,2012-09-20T16:20:43.456+00:00
16,17592186046716,2011-08-22T20:49:55.766+00:00
16,17592186049759,2012-05-24T05:30:14.412+00:00
16,17592186051490,2012-05-12T14:28:04.790+00:00
16,21990232559659,2012-08-08T20:50:01.184+00:00
16,21990232561154,2012-08-30T21:56:18.049+00:00
16,21990232564635,2012-08-16T06:08:37.661+00:00
16,24189255814847,2012-10-25T18:16:52.696+00:00
16,28587302324317,2012-07-09T14:24:26.339+00:00
16,28587302329167,2012-09-07T08:18:12.476+00:00
16,30786325579131,2012-11-15T13:57:24.935+00:00
16,32985348837125,2012-11-18T15:12:36.727+00:00
16,32985348837398,2012-10-22T23:53:01.709+00:00
16,32985348840035,2012-10-29T18:48:35.765+00:00
16,32985348843830,2012-07-23T08:55:17.578+00:00
27,4398046519431,2012-03-03T13:23:13.718+00:00
27,8796093026972,2012-06-27T00:37:47.441+00:00
27,8796093028333,2011-09-07T06:40:40.116+00:00
27,8796093029201,2011-03-07T07:31:02.325+00:00
27,13194139539233,2012-01-30T09:40:43.296+00:00
27,13194139539598,2012-04-02T19:52:46.344+00:00
27,19791209301598,2012-10-08T20:34:48.393+00:00
27,19791209305198,2012-10-09T00:27:28.107+00:00
27,21990232559659,2012-05-23T08:58:41.392+00:00
27,21990232564483,2011-10-15T16:18:21.874+00:00
27,26388279069626,2012-02-06T06:17:50.669+00:00
27,28587302326226,2012-08-18T16:43:43.504+00:00
27,28587302329167,2012-10-06T07:33:58.818+00:00
27,30786325578027,2012-09-11T06:45:34.313+00:00
27,32985348842600,2012-08-10T01:39:49.259+00:00
33,15393162795309,2011-07-01T07:02:26.058+00:00
33,21990232561742,2012-06-24T11:53:20.215+00:00
33,28587302326380,2012-10-05T13:57:52.596+00:00
33,32985348835600,2012-10-24T17:42:23.636+00:00
47,4398046514495,2012-11-11T18:20:13.964+00:00
47,6597069774064,2011-02-24T03:07:56.601+00:00
47,15393162792602,2011-10-29T21:14:44.557+00:00
47,15393162796126,2012-10-27T04:18:30.655+00:00
47,24189255819262,2012-07-22T04:43:39.109+00:00
47,24189255819865,2012-03-30T11:10:50.540+00:00
47,26388279069626,2012-10-01T21:25:27.097+00:00
47,26388279070374,2012-08-09T06:58:51.108+00:00
47,26388279073679,2012-11-11T20:10:50.997+00:00
47,32985348835033,2012-10-19T23:09:14.721+00:00
47,35184372089418,2012-10-02T14:02:17.640+00:00
66,2869,2011-03-04T08:05:21.983+00:00
66,6421,2011-09-23T10:37:00.321+00:00
66,7937,2010-12-14T09:15:15.664+00:00
66,9475,2012-01-25T23:06:27.515+00:00
66,9995,2010-07-04T21:54:13.117+00:00
66,2199023255976,2012-08-06T03:14:36.202+00:00
66,2199023257622,2012-05-15T03:23:53.708+00:00
66,2199023259337,2012-07-07T07:37:09.393+00:00
66,2199023260496,2010-04-17T05:00:20.957+00:00
66,2199023261320,2010-08-16T05:42:58.340+00:00
66,2199023263186,2012-03-25T11:16:39.684+00:00
66,2199023265236,2011-12-08T08:14:52.221+00:00
66,4398046514104,2011-12-20T20:41:00.456+00:00
66,4398046514439,2011-03-09T11:04:14.571+00:00
66,4398046519825,2012-03-04T22:08:59.352+00:00
66,4398046519871,2012-03-06T13:34:48.747+00:00
66,4398046521141,2010-12-20T07:04:15.511+00:00
66,6597069776777,2012-07-10T02:01:04.328+00:00
66,8796093023054,2011-05-03T19:40:02.191+00:00
66,8796093027051,2012-06-22T18:06:19.547+00:00
66,8796093030850,2011-08-05T05:42:47.504+00:00
66,8796093032553,2011-09-15T20:21:36.707+00:00
66,10995116278602,2010-12-27T07:49:26.111+00:00
66,10995116281358,2012-04-18T16:53:13.977+00:00
66,10995116286614,2012-01-21T06:22:26.374+00:00
66,10995116287940,2012-09-17T02:10:24.228+00:00
66,13194139536000,2012-03-06T15:23:22.995+00:00
66,13194139537876,2012-03-29T00:05:41.582+00:00
66,15393162789519,2011-08-15T15:33:44.557+00:00
66,15393162790313,2011-11-12T01:46:32.155+00:00
66,15393162790427,2012-10-03T05:41:53.659+00:00
66,15393162794185,2011-09-14T22:59:32.555+00:00
66,15393162794842,2011-08-08T00:52:35.046+00:00
66,15393162796905,2011-10-14T18:19:30.616+00:00
66,17592186054199,2011-06-01T12:43:45.355+00:00
66,19791209305340,2012-02-19T09:59:11.240+00:00
66,21990232558345,2012-01-14T18:00:11.297+00:00
66,21990232563252,2012-07-10T02:30:43.433+00:00
66,21990232564841,2012-05-30T04:18:17.608+00:00
66,24189255816982,2012-01-12T02:47:08.270+00:00
66,26388279067483,2012-10-23T21:25:40.905+00:00
66,26388279068136,2012-10-18T05:05:21.979+00:00
66,26388279071108,2012-10-11T06:13:31.709+00:00
66,28587302323380,2012-05-30T21:33:18.591+00:00
66,28587302326706,2012-08-10T13:44:46.511+00:00
66,28587302330254,2012-09-07T13:10:14.671+00:00
66,28587302331208,2012-05-29T15:01:29.049+00:00
66,32985348838860,2012-11-27T00:44:10.894+00:00
66,32985348839723,2012-09-16T01:50:45.287+00:00
66,35184372094784,2012-11-09T22:16:21.626+00:00
66,37383395349149,2012-11-22T02:01:49.987+00:00
79,2199023265489,2011-11-11T02:47:38.252+00:00
79,6597069767181,2011-11-30T03:28:37.860+00:00
79,6597069774064,2011-08-03T02:52:37.240+00:00
79,10995116284716,2011-06-09T22:57:50.978+00:00
79,10995116287165,2012-06-21T22:51:36.772+00:00
79,13194139538863,2012-07-28T22:26:07.624+00:00
79,19791209309084,2011-08-24T06:21:00.098+00:00
79,24189255819695,2012-08-22T20:33:36.202+00:00
79,28587302323380,2012-10-08T19:41:52.958+00:00
79,28587302325374,2012-04-27T04:56:47.557+00:00
100,664,2012-03-06T16:58:43.672+00:00
100,9802,2012-06-26T10:56:42.317+00:00
100,2199023260815,2011-07-22T20:26:35.358+00:00
100,4398046513767,2012-08-03T20:07:49.564+00:00
100,10995116282829,2011-08-16T02:39:01.705+00:00
100,15393162789846,2011-05-22T01:54:02.596+00:00
100,15393162792602,2011-12-27T12:15:25.163+00:00
100,17592186048010,2012-08-14T01:36:08.586+00:00
100,17592186048763,2012-09-08T21:09:25.455+00:00
100,17592186050849,2011-06-07T05:22:05.559+00:00
100,17592186054677,2012-11-22T22:35:39.293+00:00
100,19791209302997,2012-09-26T05:04:34.291+00:00
100,19791209303398,2012-09-01T16:47:02.187+00:00
100,21990232559260,2012-05-03T12:16:37.480+00:00
100,21990232560671,2012-06-21T08:08:35.802+00:00
100,21990232561531,2012-10-08T12:35:31.870+00:00
100,21990232565630,2011-11-20T07:31:32.123+00:00
100,24189255815274,2012-11-23T03:50:15.643+00:00
100,24189255818790,2012-11-25T13:17:30.282+00:00
100,28587302322210,2012-06-01T17:18:32.622+00:00
100,28587302323297,2012-10-13T02:51:00.248+00:00
100,28587302330467,2012-09-20T11:31:44.864+00:00
100,30786325587052,2012-10-12T16:15:48.110+00:00
100,32985348837712,2012-09-16T21:06:05.369+00:00
100,32985348838192,2012-10-19T14:36:25.837+00:00
100,32985348839032,2012-09-18T00:41:36.726+00:00
100,32985348842085,2012-11-22T14:21:36.220+00:00
100,35184372098571,2012-11-04T00:51:20.570+00:00
113,1024,2012-09-17T10:28:26.035+00:00
113,2184,2010-12-13T17:58:19.857+00:00
113,6575,2011-10-22T06:59:17.470+00:00
113,8506,2010-04-09T04:17:32.851+00:00
113,9122,2011-10-14T05:49:32.394+00:00
113,9586,2010-03-03T16:07:49.315+00:00
113,10022,2011-04-21T03:09:37.370+00:00
113,10349,2011-01-26T05:44:26.657+00:00
113,2199023255557,2010-07-21T04:49:21.703+00:00
113,2199023256479,2011-09-02T05:26:49.503+00:00
113,2199023257361,2012-08-18T23:59:06.204+00:00
113,2199023258367,2012-03-05T09:53:19.635+00:00
113,2199023260051,2010-12-01T19:57:40.797+00:00
113,2199023260693,2011-03-08T07:42:35.487+00:00
113,2199023260815,2011-07-16T13:28:29.531+00:00
113,2199023263150,2012-04-25T01:58:31.637+00:00
113,2199023263560,2012-02-09T18:01:40.815+00:00
113,2199023264696,2012-06-01T02:39:16.537+00:00
113,4398046512195,2010-12-29T17:02:38.348+00:00
113,4398046513126,2012-05-14T14:05:07.701+00:00
113,4398046514298,2011-12-30T14:29:04.109+00:00
113,6597069767602,2012-07-20T15:38:21.851+00:00
113,6597069770739,2012-06-15T16:48:05.264+00:00
113,6597069771891,2012-10-29T05:01:31.810+00:00
113,6597069775657,2012-11-22T08:02:31.415+00:00
113,8796093024361,2012-02-14T09:48:04.019+00:00
113,8796093027159,2011-08-05T13:04:38.091+00:00
113,10995116280022,2011-11-25T12:11:40.997+00:00
113,10995116280964,2012-10-01T12:23:06.234+00:00
113,10995116282007,2012-06-09T16:41:37.905+00:00
113,10995116282628,2011-07-08T05:07:18.960+00:00
113,10995116283786,2011-04-21T19:13:35.933+00:00
113,10995116285043,2011-11-26T18:52:38.664+00:00
113,13194139535349,2011-04-25T07:00:18.820+00:00
113,13194139535600,2011-10-25T12:52:21.307+00:00
113,13194139536000,2012-02-12T14:01:54.173+00:00
113,13194139536344,2011-11-03T01:15:25.699+00:00
113,13194139536821,2011-04-17T02:14:30.060+00:00
113,13194139538394,2012-11-08T10:57:16.673+00:00
113,13194139542521,2012-07-24T17:02:24.596+00:00
113,15393162791403,2012-08-06T01:03:40.633+00:00
113,15393162799092,2011-09-16T14:28:37.161+00:00
113,17592186045301,2012-10-24T18:26:09.180+00:00
113,17592186046450,2012-01-07T15:13:31.631+00:00
113,17592186046919,2012-04-25T03:32:28.695+00:00
113,17592186047102,2011-11-08T09:23:18.090+00:00
113,17592186048918,2012-08-09T00:25:01.816+00:00
113,17592186051056,2012-06-24T03:55:57.565+00:00
113,17592186051268,2011-09-28T22:00:13.772+00:00
113,19791209302990,2012-05-18T03:08:02.459+00:00
113,19791209303931,2012-08-02T20:28:39.874+00:00
113,19791209304650,2011-10-23T22:21:16.624+00:00
113,19791209305198,2011-11-30T03:25:57.748+00:00
113,19791209306457,2011-09-03T03:20:20.402+00:00
113,19791209307253,2011-12-03T03:19:18.954+00:00
113,19791209310055,2011-10-28T12:29:05.023+00:00
113,21990232556424,2011-12-26T18:04:15.946+00:00
113,21990232557451,2012-04-23T09:56:55.483+00:00
113,21990232557524,2012-08-04T21:20:59.126+00:00
113,21990232562958,2011-11-17T22:07:16.190+00:00
113,24189255813332,2012-03-02T22:35:51.929+00:00
113,24189255820429,2012-11-12T06:16:46.167+00:00
113,24189255821191,2012-01-05T02:23:00.664+00:00
113,26388279074647,2012-04-08T23:07:36.558+00:00
113,26388279074760,2012-02-26T03:35:51.034+00:00
113,26388279075289,2012-05-31T06:19:56.437+00:00
113,28587302323528,2012-08-28T21:34:35.423+00:00
113,28587302324780,2012-11-06T03:51:01.257+00:00
113,28587302326092,2012-04-08T18:16:16.170+00:00
113,28587302327725,2012-04-22T11:17:19.202+00:00
113,28587302329293,2012-08-05T03:20:15.441+00:00
113,28587302329333,2012-11-05T00:30:58.943+00:00
